"municipio","Poblacion_Total","n_centros_total","total_ofertas","empresas_total","lat","lon","centros_por_1000hab","viviendas_por_1000hab","empresas_por_1000hab","indice_oportunidad"
"tous",1359,2,0,379,391381579,-0.58682162,1.47167034584253,0,278.88153053716,84.2531272994849
"traiguera",1308,1,0,602,4052562629,0.29109627,0.764525993883792,0,460.244648318043,138.379204892966
"tuejar",1237,3,0,514,3976354602,-1.03965285,2.42522231204527,0,415.52142279709,125.626515763945
"turis",7504,5,0,2922,3938884152,-0.71026832,0.666311300639659,0,389.392324093817,117.084221748401
"utiel",11661,7,5,4986,3956715497,-1.20538601,0.600291570191236,0.42877969299374,427.579109853357,128.642483491982
"valencia",824340,38,265,941030,3947534441,-0.37565717,0.0460974840478443,0.321469296649441,1141.55566877745,342.581580415848
"vall d'alba",3088,4,0,1219,4017552005,-0.03507496,1.29533678756477,0,394.753886010363,118.944300518135
"vall de almonacid",278,0,0,109,3990376049,-0.4563771,0,0,392.086330935252,117.625899280576
"vallada",3096,4,15,1280,3889460302,-0.69205225,1.29198966408269,4.84496124031008,413.43669250646,126.001291989664
"vallanca",131,0,0,42,4006310501,-1.33890097,0,0,320.610687022901,96.1832061068702
"vallat",72,0,0,0,4003059787,-0.33665307,0,0,0,0
"valles",148,0,0,66,3898545785,-0.5562545,0,0,445.945945945946,133.783783783784
"vallibona",64,0,0,15,4060302083,0.04667053,0,0,234.375,70.3125
"venta del moro",1173,1,0,452,3948386851,-1.35639044,0.852514919011083,0,385.336743393009,115.942028985507
"el verger",5338,0,0,2738,3884290338,0.01012098,0,0,512.926189584114,153.877856875234
"vila-real",52523,14,19,22601,3993814957,-0.1007625,0.266549892428079,0.361746282580965,430.306722769073,129.307160672467
"vilafames",1930,3,5,972,4011314072,-0.05364986,1.55440414507772,2.59067357512953,503.626943005181,152.487046632124
"vilamarxant",11164,6,14,4029,3956885036,-0.6217647,0.53744177714081,1.25403081332856,360.892153350054,108.858831959871
"vilanova d'alcolea",600,1,0,242,4023115616,0.07214278,1.66666666666667,0,403.333333333333,121.666666666667
"vilar de canes",156,0,0,89,403583683,-0.06572473,0,0,570.51282051282,171.153846153846
"la vilavella",3074,0,0,1026,3985888468,-0.18452121,0,0,333.767078724789,100.130123617437
"villahermosa del rio",493,1,0,189,4020193005,-0.41779099,2.02839756592292,0,383.367139959432,115.821501014199
"villamalur",97,0,0,0,399643457,-0.39496385,0,0,0,0
"villanueva de viver",98,0,0,6,4005932948,-0.64663531,0,0,61.2244897959184,18.3673469387755
"villar del arzobispo",3771,5,0,1612,3973297057,-0.8243642,1.3259082471493,0,427.472818880933,128.77220896314
"villargordo del cabriel",595,0,0,247,3953700548,-1.44184908,0,0,415.126050420168,124.53781512605
"villena",34373,9,18,15705,3862963811,-0.86138343,0.261833415762372,0.523666831524743,456.899310505339,137.331626567364
"villores",53,0,0,0,4067594572,-0.20038129,0,0,0,0
"vinalesa",3560,5,0,1517,3953690484,-0.37024391,1.40449438202247,0,426.123595505618,128.398876404494
"vinaros",30259,8,9,14958,4047092595,0.47487433,0.264384150170197,0.297432168941472,494.332264780726,148.494662744968
"vistabella del maestrat",366,0,0,135,4029371058,-0.29218084,0,0,368.852459016393,110.655737704918
"viver",1678,3,0,716,3992142681,-0.59696347,1.78784266984505,0,426.698450536353,128.724672228844
"xalo",3073,2,0,1924,3874069906,-0.01192072,0.650829808005207,0,626.098275301009,188.089814513505
"xativa",30320,19,6,15250,3898797116,-0.51869568,0.62664907651715,0.197889182058047,502.968337730871,151.200527704485
"xeraco",6030,5,0,2401,3903284153,-0.21567267,0.829187396351575,0,398.175787728027,119.784411276949
"xeresa",2339,3,0,968,3900991535,-0.21839661,1.28259940145361,0,413.852073535699,124.668661821291
"xert",686,0,0,398,4051804105,0.15983743,0,0,580.174927113703,174.052478134111
"xirivella",31803,7,6,10242,3946575132,-0.4252401,0.220105021538849,0.188661447033299,322.045090085841,96.7581674684778
"yatova",2248,3,0,796,3938451438,-0.80828078,1.33451957295374,0,354.092526690391,106.761565836299
"la yesa",235,0,0,88,3989110862,-0.96158146,0,0,374.468085106383,112.340425531915
"zarra",383,0,0,138,3909152563,-1.07475293,0,0,360.313315926893,108.093994778068
"zorita del maestrazgo",112,0,0,41,4072850615,-0.16590266,0,0,366.071428571429,109.821428571429
"zucaina",174,1,0,76,4013190397,-0.41826334,5.74712643678161,0,436.781609195402,133.333333333333
"l'atzubia",NA,NA,NA,NA,3884743029,-0.15173035,NA,NA,NA,NA
"alcoi/alcoy",NA,NA,NA,NA,3869764173,-0.473163128,NA,NA,NA,NA
"l'alfas del pi",NA,NA,NA,NA,3858009496,-0.1026002,NA,NA,NA,NA
"alacant/alicante",NA,NA,NA,NA,3834548705,-0.4831832,NA,NA,NA,NA
"l'alqueria d'asnar",NA,NA,NA,NA,3877311802,-0.42552267,NA,NA,NA,NA
"el poble nou de benitatxell/benitachell",NA,NA,NA,NA,3873241632,0.144742727,NA,NA,NA,NA
"el camp de mirra/campo de mirra",NA,NA,NA,NA,3868728729,-0.778961778,NA,NA,NA,NA
"elx/elche",NA,NA,NA,NA,3826536234,-0.698854923,NA,NA,NA,NA
"el castell de guadalest",NA,NA,NA,NA,3867694213,-0.19735239,NA,NA,NA,NA
"el fondo de les neus/hondon de las nieves",NA,NA,NA,NA,3830855695,-0.85486637,NA,NA,NA,NA
"xabia/javea",NA,NA,NA,NA,3878906246,0.163523555,NA,NA,NA,NA
"xixona/jijona",NA,NA,NA,NA,3853941113,-0.507189631,NA,NA,NA,NA
"l'orxa/lorcha",NA,NA,NA,NA,3884540041,-0.311838984,NA,NA,NA,NA
"monover/monovar",NA,NA,NA,NA,3843694476,-0.839000344,NA,NA,NA,NA
"la nucia",NA,NA,NA,NA,3861761623,-0.12289748,NA,NA,NA,NA
"el pinos/pinoso",NA,NA,NA,NA,3840441177,-1.04195399,NA,NA,NA,NA
"el rafol d'almunia",NA,NA,NA,NA,3882066727,-0.05280018,NA,NA,NA,NA
"sant vicent del raspeig/san vicente del raspeig",NA,NA,NA,NA,3839603599,-0.522215366,NA,NA,NA,NA
"la torre de les macanes/torremanzanas",NA,NA,NA,NA,3860749575,-0.419974923,NA,NA,NA,NA
"la vall d'alcala",NA,NA,NA,NA,3879456237,-0.25201489,NA,NA,NA,NA
"la vall d'ebo",NA,NA,NA,NA,3880574426,-0.15985139,NA,NA,NA,NA
"la vall de gallinera",NA,NA,NA,NA,3882200923,-0.22174105,NA,NA,NA,NA
"la vall de laguar",NA,NA,NA,NA,3877743427,-0.10944662,NA,NA,NA,NA
"la vila joiosa/villajoyosa",NA,NA,NA,NA,3850511374,-0.232622623,NA,NA,NA,NA
"l'alcora",NA,NA,NA,NA,4007561838,-0.21228342,NA,NA,NA,NA
"benicassim/benicasim",NA,NA,NA,NA,4005536597,0.0647391,NA,NA,NA,NA
"borriana/burriana",NA,NA,NA,NA,3988968132,-0.08364221,NA,NA,NA,NA
"les coves de vinroma",NA,NA,NA,NA,4030947567,0.12056808,NA,NA,NA,NA
"chilches/xilxes",NA,NA,NA,NA,3978206194,-0.18778601,NA,NA,NA,NA
"xodos/chodos",NA,NA,NA,NA,4024469557,-0.286374092,NA,NA,NA,NA
"llucena/lucena del cid",NA,NA,NA,NA,4013843768,-0.27999337,NA,NA,NA,NA
"la mata de morella",NA,NA,NA,NA,4061665451,-0.2803286,NA,NA,NA,NA
"orpesa/oropesa del mar",NA,NA,NA,NA,4009460923,0.134759545,NA,NA,NA,NA
"peniscola/peniscola",NA,NA,NA,NA,4035824221,0.406858921,NA,NA,NA,NA
"la pobla de benifassa",NA,NA,NA,NA,4065677431,0.1560176,NA,NA,NA,NA
"la pobla tornesa",NA,NA,NA,NA,4010138192,-0.00079227,NA,NA,NA,NA
"sant jordi/san jorge",NA,NA,NA,NA,4050947763,0.33024152,NA,NA,NA,NA
"suera/sueras",NA,NA,NA,NA,3995219408,-0.332502723,NA,NA,NA,NA
"la torre d'en besora",NA,NA,NA,NA,4032728948,-0.07838252,NA,NA,NA,NA
"la torre d'en domenec",NA,NA,NA,NA,4026280874,0.06931996,NA,NA,NA,NA
"les useres/useras",NA,NA,NA,NA,4015724362,-0.16282618,NA,NA,NA,NA
"la vall d'uixo",NA,NA,NA,NA,3982421754,-0.22806489,NA,NA,NA,NA
"vilafranca/villafranca del cid",NA,NA,NA,NA,4042874071,-0.25658083,NA,NA,NA,NA
"les alqueries/alquerias del nino perdido",NA,NA,NA,NA,3989489234,-0.11078598,NA,NA,NA,NA
"alboraia/alboraya",NA,NA,NA,NA,3950024605,-0.34992845,NA,NA,NA,NA
"l'alcudia",NA,NA,NA,NA,3919405,-0.507077,NA,NA,NA,NA
"l'alcudia de crespins",NA,NA,NA,NA,3897021311,-0.58999491,NA,NA,NA,NA
"alfarb",NA,NA,NA,NA,3927680966,-0.5595106,NA,NA,NA,NA
"l'alqueria de la comtessa",NA,NA,NA,NA,3893653868,-0.1561269,NA,NA,NA,NA
"l'eliana",NA,NA,NA,NA,3956680347,-0.53062592,NA,NA,NA,NA
"l'enova",NA,NA,NA,NA,3904498344,-0.48088592,NA,NA,NA,NA
"la font d'en carros",NA,NA,NA,NA,3891637893,-0.169220567,NA,NA,NA,NA
"la font de la figuera",NA,NA,NA,NA,3880692932,-0.8808594,NA,NA,NA,NA
"el genoves",NA,NA,NA,NA,3898857844,-0.46980831,NA,NA,NA,NA
"la granja de la costera",NA,NA,NA,NA,3899577156,-0.55743511,NA,NA,NA,NA
"la llosa de ranes",NA,NA,NA,NA,3901884746,-0.53357725,NA,NA,NA,NA
"moixent/mogente",NA,NA,NA,NA,3887398074,-0.751892924,NA,NA,NA,NA
"montitxelvo/montichelvo",NA,NA,NA,NA,3889097398,-0.33961791,NA,NA,NA,NA
"montroi/montroy",NA,NA,NA,NA,3933787195,-0.61459393,NA,NA,NA,NA
"naquera/naquera",NA,NA,NA,NA,3965820571,-0.42519631,NA,NA,NA,NA
"l'olleria",NA,NA,NA,NA,3891173101,-0.54678215,NA,NA,NA,NA
"la pobla de farnals",NA,NA,NA,NA,3957871399,-0.32682479,NA,NA,NA,NA
"la pobla del duc",NA,NA,NA,NA,3890612685,-0.41980188,NA,NA,NA,NA
"la pobla de vallbona",NA,NA,NA,NA,3959242058,-0.55296899,NA,NA,NA,NA
"la pobla llarga",NA,NA,NA,NA,3908408601,-0.47555312,NA,NA,NA,NA
"el puig de santa maria",NA,NA,NA,NA,3958982953,-0.3033912,NA,NA,NA,NA
"el real de gandia",NA,NA,NA,NA,3894758005,-0.18942038,NA,NA,NA,NA
"sagunt/sagunto",NA,NA,NA,NA,3967995785,-0.27841866,NA,NA,NA,NA
"vilallonga/villalonga",NA,NA,NA,NA,3888447318,-0.208063529,NA,NA,NA,NA
