"municipio","Poblacion_Total","n_centros_total","total_ofertas","empresas_total","lat","lon","centros_por_1000hab","viviendas_por_1000hab","empresas_por_1000hab","indice_oportunidad"
"benavites",661,0,0,252,3974059326,-0.25833794,0,0,381.240544629349,114.372163388805
"beneixama",1694,1,0,903,3870018533,-0.76676743,0.590318772136954,0,533.057851239669,160.153482880756
"beneixida",647,2,0,401,39057492,-0.548801,3.09119010819165,0,619.783616692427,187.171561051005
"benejuzar",5719,4,1,2512,3807806375,-0.83819517,0.699422976044763,0.174855744011191,439.237628956111,132.103514600455
"benetusser",16317,6,0,5787,3942296574,-0.39719744,0.367714653428939,0,354.660783232212,106.545320831035
"benferri",2054,1,0,730,3814179352,-0.9622579,0.486854917234664,0,355.404089581305,106.815968841285
"beniarbeig",2445,3,1,1309,3882193219,-0.00130364,1.22699386503067,0.408997955010225,535.378323108385,161.226993865031
"beniarda",242,1,0,102,3868343356,-0.21600764,4.13223140495868,0,421.487603305785,128.099173553719
"beniarjo",1923,4,1,951,389324161,-0.18636266,2.08008320332813,0.520020800832033,494.539781591264,149.34997399896
"beniarres",1096,1,0,505,3882007885,-0.37904234,0.912408759124088,0,460.766423357664,138.594890510949
"beniatjar",210,0,0,84,3884710544,-0.41655507,0,0,400,120
"benicarlo",29751,11,9,12648,4041889048,0.42396296,0.369735471076602,0.302510839971766,425.128567106988,127.777217572519
"benicolet",603,0,0,254,3891865981,-0.34554941,0,0,421.2271973466,126.36815920398
"benicull de xuquer",1140,2,0,263,3918567881,-0.38349993,1.75438596491228,0,230.701754385965,69.9122807017544
"benidoleig",1242,3,0,650,38791917,-0.03173239,2.41545893719807,0,523.349436392915,157.971014492754
"benidorm",74573,14,18,38774,3853427136,-0.1306853,0.187735507489306,0.241374223914822,519.946897670739,156.131575771392
"benifaio",12080,7,0,5333,3928514298,-0.42733016,0.579470198675497,0,441.473509933775,132.673841059603
"benifairo de la valldigna",1570,3,2,567,3905379019,-0.30276868,1.91082802547771,1.27388535031847,361.146496815287,109.490445859873
"benifairo de les valls",2311,3,0,796,3972830418,-0.26780809,1.29813933362181,0,344.439636520987,103.851146689745
"benifallim",116,0,0,0,3866273419,-0.39922559,0,0,0,0
"benifato",144,1,0,71,3867369418,-0.22888967,6.94444444444444,0,493.055555555556,150.694444444444
"benifla",503,0,0,276,389284692,-0.18894082,0,0,548.707753479125,164.612326043738
"beniganim",5799,5,0,2705,3894355063,-0.4434453,0.862217623728229,0,466.459734436972,140.282807380583
"benigembla",569,1,0,254,3875633514,-0.10982699,1.75746924428822,0,446.397188049209,134.622144112478
"benijofar",3521,2,0,1748,380808408,-0.73828051,0.568020448736155,0,496.449872195399,149.162169838114
"benilloba",749,1,0,295,3869955909,-0.3908201,1.33511348464619,0,393.858477970628,118.691588785047
"benillup",110,0,0,5,3875380301,-0.3789958,0,0,45.4545454545455,13.6363636363636
"benimantell",542,1,0,418,3867659254,-0.20984798,1.8450184501845,0,771.217712177122,232.10332103321
"benimarfull",446,0,0,228,3877584801,-0.39099875,0,0,511.210762331839,153.363228699552
"benimassot",96,0,0,5,3874905825,-0.291855,0,0,52.0833333333333,15.625
"benimeli",455,3,0,279,3882296616,-0.04146491,6.59340659340659,0,613.186813186813,186.593406593407
"benimodo",2318,3,0,753,3921301774,-0.52847323,1.29421915444349,0,324.849007765315,97.9723899913719
"benimuslem",665,1,0,291,3913177858,-0.49254298,1.50375939849624,0,437.593984962406,131.87969924812
"beniparrell",2089,4,0,3449,3938189594,-0.41096159,1.9147917663954,0,1651.02920057444,496.074676878889
"benirredra",1558,3,0,806,3896133073,-0.19215383,1.92554557124519,0,517.329910141207,155.96919127086
"benissa",12395,6,0,8778,387151969,0.05043358,0.484066155707947,0,708.188785800726,212.650262202501
"benissano",2425,2,7,1062,3961411166,-0.578202,0.824742268041237,2.88659793814433,437.938144329897,132.577319587629
"benissoda",487,1,0,325,3883146661,-0.52989034,2.05338809034908,0,667.35112936345,201.026694045175
"benissuera",188,0,0,47,389124792,-0.47709232,0,0,250,75
"benlloc",1123,1,0,366,4021177206,0.02622783,0.890471950133571,0,325.912733748887,98.1300089047195
"betera",27596,13,3,13672,3959086755,-0.46050256,0.471082765618206,0.108711407450355,495.434120887085,148.851282794608
"betxi",5634,7,0,2402,3992860926,-0.19766881,1.24245651402201,0,426.340078097267,128.399006034789
"biar",3634,5,6,2163,3862996229,-0.76597374,1.37589433131536,1.65107319757843,595.211887727023,179.609246009906
"bicorp",558,1,0,152,3913280027,-0.78756183,1.7921146953405,0,272.401433691756,82.4372759856631
"bigastro",7416,7,0,3557,3806301558,-0.89528476,0.943905070118662,0,479.638619201726,144.269147788565
"bocairent",4179,5,0,2225,3876638359,-0.61108501,1.19645848289064,0,532.424024886336,160.205790859057
"bolbaite",1326,1,0,439,3906258674,-0.67413079,0.754147812971342,0,331.070889894419,99.6229260935143
"bolulla",480,1,0,135,3867657681,-0.11168494,2.08333333333333,0,281.25,85.2083333333333
"bonrepos i mirambell",4037,4,1,1521,3951905184,-0.36636985,0.990834778300718,0.24770869457518,376.764924448848,113.500123854347
"borriol",5944,4,0,2956,4004296097,-0.07170101,0.672947510094213,0,497.308209959623,149.461641991925
"bufali",155,1,0,143,3886814307,-0.51618568,6.45161290322581,0,922.58064516129,279.354838709677
"bugarra",783,3,0,220,3960869693,-0.77484477,3.83141762452107,0,280.970625798212,85.823754789272
"bunol",9779,8,0,3368,3941801363,-0.78986594,0.818079558237038,0,344.411494017793,103.650680028633
"burjassot",41057,12,23,14260,3950973203,-0.41266051,0.292276591080693,0.560196799571328,347.322015734223,104.481574396571
"busot",3599,2,0,1348,384819618,-0.42050568,0.555709919422062,0,374.54848569047,112.58682967491
"cabanes",3315,2,0,1733,4015548204,0.04265634,0.603318250377074,0,522.775263951735,157.073906485671
"calig",2059,2,0,1027,4046204041,0.35396193,0.971345313258864,0,498.785818358426,150.024283632831
"calles",447,0,0,162,3972550247,-0.97369191,0,0,362.41610738255,108.724832214765
"callosa d'en sarria",8069,6,0,3975,3865164066,-0.12235041,0.743586565869377,0,492.626099888462,148.085264592886
"callosa de segura",19584,7,43,7228,3812258136,-0.87933854,0.357434640522876,2.19566993464052,369.076797385621,111.524714052288
"calp",26637,6,2,14480,3864526261,0.04453809,0.225250591282802,0.0750835304276007,543.604760295829,163.19405338439
"el campello",30759,0,15,15314,3842754724,-0.40086509,0,0.487662147664098,497.8705419552,149.507461230859
"camporrobles",1184,2,0,452,3964705412,-1.39769289,1.68918918918919,0,381.756756756757,115.202702702703
"canada",1227,2,0,662,3867518917,-0.80952172,1.62999185004075,0,539.527302363488,162.510187449063
"canals",13521,6,1,5549,3895946334,-0.58558184,0.443754160195252,0.0739590266992086,410.398639153909,123.31928111826
"canet d'en berenguer",7709,5,0,2809,3968077325,-0.21878416,0.648592554157478,0,364.379296925671,109.573226099364
"canet lo roig",698,0,0,237,405510803,0.24273041,0,0,339.541547277937,101.862464183381
"carcaixent",21331,10,7,7440,3912276198,-0.44698055,0.468801275139468,0.328160892597628,348.788148703764,104.922413388964
"carcer",1815,4,3,543,3907013757,-0.56780586,2.20385674931129,1.65289256198347,299.173553719008,91.129476584022
"carlet",16388,9,3,6616,392272942,-0.5198408,0.549182328533073,0.183060776177691,403.710031730535,121.387600683427
"carricola",98,0,0,30,3884038285,-0.47165762,0,0,306.122448979592,91.8367346938776
"casas altas",139,0,0,59,40039604,-1.26239473,0,0,424.460431654676,127.338129496403
"casas bajas",167,1,0,121,4002345052,-1.26056666,5.98802395209581,0,724.550898203593,219.760479041916
"casinos",3105,2,0,1420,3970027294,-0.70721276,0.644122383252818,0,457.326892109501,137.455716586151
"castalla",11598,7,31,5988,3859657643,-0.67026538,0.60355233660976,2.67287463355751,516.295913088464,155.93205725125
"castell de cabres",22,0,0,0,4066068518,0.04253046,0,0,0,0
"castell de castells",450,2,0,182,3872499704,-0.19391054,4.44444444444444,0,404.444444444444,123.111111111111
"castellfort",189,0,0,79,4050238093,-0.19121752,0,0,417.989417989418,125.396825396825
"castellnovo",886,2,0,375,3986082083,-0.45650191,2.25733634311512,0,423.250564334086,127.878103837472
"castello",6930,6,3,2918,3907730688,-0.51307146,0.865800865800866,0.432900432900433,421.067821067821,126.796536796537
"castello de la plana",179861,0,101,0,3998640809,-0.03688142,0,0.561544748444632,0,0.16846342453339
"castello de rugat",2353,4,0,1152,3887583716,-0.38259728,1.69995750106247,0,489.587760305992,147.556311092223
"castellonet de la conquesta",148,0,0,45,389144824,-0.26340163,0,0,304.054054054054,91.2162162162162
"castielfabib",287,0,0,177,4013136465,-1.30342617,0,0,616.724738675958,185.017421602787
"castillo de villamalefa",117,0,0,11,401307829,-0.37881624,0,0,94.017094017094,28.2051282051282
"catadau",3004,4,0,1260,3927529449,-0.56933467,1.33155792276964,0,419.440745672437,126.364846870839
"catarroja",30090,11,1,13803,3940248625,-0.40311595,0.365569956796278,0.0332336324360253,458.723828514457,137.773346626786
"cati",761,2,0,498,4047193564,0.02331551,2.6281208935611,0,654.402102496715,197.371879106439
"catral",9493,7,0,4315,3815964959,-0.80464175,0.737385441904561,0,454.545454545455,136.658590540398
"caudete de las fuentes",721,2,0,326,3955852733,-1.27886718,2.77392510402219,0,452.149791955617,136.754507628294
"caudiel",721,1,0,262,3994674693,-0.56835008,1.3869625520111,0,363.384188626907,109.570041608877
"cerda",366,1,0,162,3898592424,-0.57384286,2.73224043715847,0,442.622950819672,133.879781420765
"cervera del maestre",651,1,0,234,4045408609,0.27566022,1.53609831029186,0,359.447004608295,108.448540706605
"chella",2457,4,0,870,3904466694,-0.66154777,1.62800162800163,0,354.090354090354,106.878306878307
"chelva",1702,4,1,915,3974732697,-0.99729278,2.35017626321974,0.587544065804935,537.602820211516,162.397179788484
"chera",490,0,0,172,3959185191,-0.97432056,0,0,351.020408163265,105.30612244898
"cheste",9068,8,0,3626,3949486693,-0.68276913,0.882223202470225,0,399.867666519629,120.313189236877
"chiva",17352,8,5,7676,3947156,-0.716975927,0.461041954817888,0.28815122176118,442.369755647764,132.981788842785
"chovar",312,0,0,111,3985137863,-0.32083076,0,0,355.769230769231,106.730769230769
"chulilla",671,1,0,305,3965561537,-0.89209647,1.4903129657228,0,454.545454545455,136.959761549925
"cinctorres",441,2,0,327,4058231398,-0.21477188,4.53514739229025,0,741.496598639456,224.263038548753
"cirat",214,0,0,61,4005488278,-0.46295356,0,0,285.046728971963,85.5140186915888
"cocentaina",11387,6,1,6972,3874541202,-0.44022067,0.52691665934838,0.08781944322473,612.277158162817,183.920259945552
"cofrentes",1124,2,0,369,3923015338,-1.06219832,1.77935943060498,0,328.291814946619,99.1992882562278
"confrides",301,1,0,89,3868353731,-0.26810894,3.32225913621262,0,295.681063122924,90.0332225913621
"corbera",3174,2,0,1475,3915811861,-0.35512919,0.630119722747322,0,464.71329552615,139.666036546944
"cortes de arenoso",313,1,0,116,401869252,-0.5419445,3.19488817891374,0,370.607028753994,112.460063897764
"cortes de pallas",762,2,0,142,3924291836,-0.94088107,2.6246719160105,0,186.351706036745,56.9553805774278
"costur",535,1,0,165,401197174,-0.17429683,1.86915887850467,0,308.411214953271,93.2710280373832
"cotes",311,0,0,102,3907173309,-0.57519438,0,0,327.974276527331,98.3922829581994
"cox",7608,5,1,5161,3813972138,-0.88437585,0.65720294426919,0.131440588853838,678.364879074658,203.811777076761
"crevillent",30430,5,5,14631,3824881414,-0.80855322,0.164311534669734,0.164311534669734,480.808412750575,144.357541899441
"culla",493,0,0,224,4033780445,-0.16603305,0,0,454.361054766734,136.30831643002
"cullera",24126,10,1,9797,3916508089,-0.25463848,0.414490591063583,0.0414490591063583,406.076432064992,122.001160573655
"daimus",3529,3,0,1616,3896816756,-0.15272664,0.850099178237461,0,457.920090677246,137.716066874469
"daya nueva",1855,3,0,900,3811371672,-0.76103525,1.61725067385445,0,485.175202156334,146.199460916442
"daya vieja",660,0,0,283,381047248,-0.73805702,0,0,428.787878787879,128.636363636364
"denia",47166,16,2,31954,3884122705,0.10661934,0.339227409574694,0.0424034261968367,677.47954034686,203.392274095747
"dolores",8085,6,8,3749,3813897736,-0.76969869,0.742115027829313,0.989486703772418,463.698206555349,139.703153988868
"domeno",690,2,0,345,3966021506,-0.67352299,2.89855072463768,0,500,151.159420289855
"dos aguas",337,1,0,67,3928774033,-0.79902632,2.9673590504451,0,198.813056379822,60.8308605341246
"elda",53925,15,29,27352,3847878894,-0.79611046,0.278164116828929,0.537783959202596,507.222994900325,152.43949930459
"emperador",702,0,0,263,3955430402,-0.338570559,0,0,374.643874643875,112.393162393162
"enguera",4865,5,5,2228,3897823024,-0.68736433,1.02774922918808,1.02774922918808,457.965056526208,138.108941418294
"eslida",786,1,0,252,3987928444,-0.30753784,1.27226463104326,0,320.610687022901,96.6921119592875
"espadilla",90,0,0,5,4002668204,-0.35523683,0,0,55.5555555555556,16.6666666666667
"estivella",1635,3,0,443,3971259324,-0.34812823,1.8348623853211,0,270.948012232416,82.0183486238532
"estubeny",110,0,0,54,3901717685,-0.62360276,0,0,490.909090909091,147.272727272727
"fageca",101,0,0,31,3873467536,-0.26771337,0,0,306.930693069307,92.0792079207921
"famorca",44,0,0,0,3873219338,-0.24604552,0,0,0,0
"fanzara",298,0,0,88,4001933099,-0.31645961,0,0,295.302013422819,88.5906040268456
"faura",3677,3,0,1284,3972665412,-0.26048852,0.81588251291814,0,349.197715528964,105.085667663856
"favara",2701,2,1,901,3912576138,-0.2910155,0.740466493891151,0.370233246945576,333.580155497964,100.481303221029
"figueroles",517,1,0,239,4011748838,-0.23752286,1.93423597678917,0,462.282398452611,139.458413926499
"finestrat",9389,4,0,4680,3856697349,-0.2117688,0.426030461177974,0,498.45563957823,149.70710405794
"foios",7758,5,1,3474,3953771987,-0.35654242,0.644496004124774,0.128899200824955,447.795823665893,134.635215261665
"fontanars dels alforins",948,3,0,498,3878460648,-0.7849707,3.16455696202532,0,525.316455696203,158.860759493671
"forcall",477,1,0,335,4064532958,-0.19995949,2.09643605870021,0,702.30607966457,211.530398322851
"formentera del segura",4748,3,0,1842,3808423377,-0.74649853,0.6318449873631,0,387.952822240944,116.638584667228
"fortaleny",1009,1,0,370,3918349516,-0.3129574,0.991080277502478,0,366.699702675917,110.406342913776
"fuente la reina",60,0,0,6,400641731,-0.6091146,0,0,100,30
"fuenterrobles",696,1,0,202,3958478289,-1.36565215,1.4367816091954,0,290.229885057471,87.6436781609195
"fuentes de ayodar",95,0,0,10,4002071303,-0.41925225,0,0,105.263157894737,31.578947368421
"gaianes",562,0,0,262,3881311114,-0.40755768,0,0,466.192170818505,139.857651245552
"gaibiel",198,0,0,83,3992547068,-0.49647825,0,0,419.191919191919,125.757575757576
"gandia",80001,15,26,35969,3896736579,-0.17941691,0.187497656279297,0.324995937550781,449.606879914001,135.054561817977
"gata de gorgos",6694,6,22,3691,387732101,0.08427495,0.89632506722438,3.28652524648939,551.389303854198,166.761278757096
"gatova",433,0,0,174,3976925793,-0.52085956,0,0,401.847575057737,120.554272517321
"gavarda",1036,3,0,343,3909016655,-0.545075189,2.8957528957529,0,331.081081081081,100.482625482625
"geldo",649,1,0,206,3983688719,-0.46684959,1.54083204930663,0,317.411402157165,95.8397534668721
"gestalgar",563,1,0,197,3960452902,-0.83411982,1.77619893428064,0,349.911190053286,105.683836589698
"gilet",3886,4,0,1556,3967876673,-0.32187497,1.02933607822954,0,400.411734431292,120.535254760679
"godella",13459,10,0,7136,3951882686,-0.4112644,0.742997250910172,0,530.202838249498,159.358050375214
"godelleta",4216,4,0,1418,3942338022,-0.68739214,0.94876660341556,0,336.337760910816,101.280834914611
"gorga",288,0,0,120,3871833445,-0.35671735,0,0,416.666666666667,125
"granja de rocamora",2723,2,0,1400,3815262779,-0.89001674,0.734484024972457,0,514.13881748072,154.535438854205
"guadassequies",467,3,0,305,3892509983,-0.48409596,6.42398286937901,0,653.104925053533,198.501070663812
"guadassuar",5965,6,0,2828,391855886,-0.47824408,1.00586756077117,0,474.098910310143,142.632020117351
"guardamar de la safor",599,0,0,171,3896194035,-0.14822188,0,0,285.475792988314,85.6427378964942
"guardamar del segura",18063,5,2,8694,3808988071,-0.65477035,0.27680894646515,0.11072357858606,481.315396113602,144.538559486243
"herbers",69,0,0,49,4072122685,-0.00403901,0,0,710.144927536232,213.04347826087
"higueras",46,0,0,5,399846095,-0.50146217,0,0,108.695652173913,32.6086956521739
"higueruelas",534,2,0,174,3978953013,-0.86121416,3.74531835205992,0,325.842696629213,99.250936329588
"hondon de los frailes",1296,1,0,429,3827358559,-0.92699487,0.771604938271605,0,331.018518518519,99.6141975308642
"ibi",24289,8,1,12860,3862745682,-0.57466482,0.329367203260735,0.0411709004075919,529.457779241632,158.981431923916
"jacarilla",2123,2,0,1318,3806070041,-0.86635637,0.942063118228921,0,620.819594912859,186.622703721149
"jalance",806,0,0,315,3919197816,-1.07743184,0,0,390.818858560794,117.245657568238
"la jana",687,0,0,299,4051267486,0.25301474,0,0,435.225618631732,130.56768558952
"jarafuel",754,3,0,233,3913911133,-1.07224204,3.97877984084881,0,309.018567639257,94.2970822281167
"jerica",1727,1,0,732,3991126253,-0.57174676,0.579038795599305,0,423.856398378691,127.388535031847
"llanera de ranes",1068,3,0,617,3899303617,-0.57140634,2.80898876404494,0,577.715355805243,174.438202247191
"llauri",1236,2,0,381,3914725855,-0.33047621,1.61812297734628,0,308.252427184466,93.1229773462783
"lliber",992,1,0,532,3874347137,0.006304,1.00806451612903,0,536.290322580645,161.290322580645
"lliria",25295,10,0,9429,3962586366,-0.59442849,0.395335046451868,0,372.761415299466,111.986558608421
"llocnou d'en fenollet",922,1,0,340,3901387415,-0.46677015,1.08459869848156,0,368.763557483731,111.062906724512
"llocnou de la corona",122,0,0,68,3942139891,-0.38198174,0,0,557.377049180328,167.213114754098
"llocnou de sant jeroni",584,2,0,224,3891266873,-0.28526658,3.42465753424658,0,383.561643835616,116.438356164384
"llombai",2763,3,0,1146,3928094081,-0.57180558,1.085776330076,0,414.766558089034,124.86427795874
"la llosa",1038,0,2,355,3976840044,-0.20470723,0,1.92678227360308,342.003853564547,103.179190751445
"llutxent",2334,3,0,1105,3894137736,-0.35687285,1.2853470437018,0,473.436161096829,142.54498714653
"loriguilla",2186,2,0,985,3948972714,-0.57094704,0.914913083257091,0,450.594693504117,135.544373284538
"losa del obispo",527,2,0,279,3969501292,-0.87040736,3.79506641366224,0,529.411764705882,160.34155597723
"ludiente",175,0,0,107,4008649096,-0.37206158,0,0,611.428571428571,183.428571428571
"macastre",1485,1,0,440,3938167832,-0.78556852,0.673400673400673,0,296.296296296296,89.1582491582491
"manises",32255,8,4,14083,3949163946,-0.45700309,0.248023562238413,0.124011781119206,436.614478375446,131.120756471865
"manuel",2517,3,0,798,3905016654,-0.49270651,1.19189511323004,0,317.044100119189,95.5899880810489
"marines",1932,4,1,627,3967511213,-0.56143173,2.0703933747412,0.5175983436853,324.534161490683,98.343685300207
"massalaves",1789,1,5,662,3914048106,-0.52158427,0.558971492453885,2.79485746226942,370.039128004472,112.073784237004
"massalfassar",2648,3,0,1388,3955798018,-0.32622473,1.13293051359517,0,524.16918429003,157.703927492447
"massamagrell",17213,6,4,6104,3957025065,-0.33056042,0.348573752396445,0.23238250159763,354.615697437983,106.593853482833
"massanassa",10327,8,0,5155,3940993709,-0.39951769,0.774668345114748,0,499.176914883316,150.062941803041
"matet",91,0,0,5,3993879158,-0.46778875,0,0,54.9450549450549,16.4835164835165
"meliana",10982,9,0,4464,3952761225,-0.34864343,0.819522855581861,0,406.483336368603,122.272810052814
"millares",344,0,0,79,3923710615,-0.77391734,0,0,229.651162790698,68.8953488372093
"millena",252,0,0,52,3873087323,-0.36337482,0,0,206.349206349206,61.9047619047619
"miramar",3021,3,0,1179,3895021905,-0.13973887,0.99304865938431,0,390.268123138034,117.477656405164
"mislata",46131,9,0,14979,39475206,-0.418037,0.195096572803538,0,324.705729336021,97.4897574299278
"moncada",21981,13,11,0,3954537844,-0.39446412,0.591419862608617,0.50043219143806,0,0.386697602474865
"moncofa",7944,0,17,3108,3980895751,-0.14347418,0,2.13997985901309,391.238670694864,118.013595166163
"monforte del cid",9017,6,11,3774,3837928097,-0.72989187,0.665409781523788,1.21991793279361,418.542752578463,126.194965065986
"montan",421,0,1,150,4003533254,-0.55494854,0,2.37529691211401,356.294536817102,107.600950118765
"montanejos",632,1,0,325,4006810382,-0.5227165,1.58227848101266,0,514.240506329114,154.905063291139
"montaverner",1641,4,0,959,3888905087,-0.49660885,2.4375380865326,0,584.399756246191,176.29494210847
"montesa",1132,2,0,332,3894950328,-0.65333755,1.76678445229682,0,293.286219081272,88.6925795053003
"los montesinos",5666,0,1,3068,3802749921,-0.74364774,0,0.176491351923756,541.475467702083,162.495587716202
"montserrat",9650,5,0,3828,393581245,-0.60318184,0.518134715025907,0,396.683937823834,119.212435233161
"morella",2492,6,0,2192,4061933991,-0.10023042,2.40770465489567,0,879.614767255217,264.847512038523
"murla",585,1,0,139,3875958883,-0.08306874,1.70940170940171,0,237.606837606838,71.965811965812
"muro de alcoy",9325,4,1,5670,3877998192,-0.4357044,0.428954423592493,0.107238605898123,608.042895442359,182.616621983914
"museros",6873,5,0,3596,3956418171,-0.34168706,0.72748435908628,0,523.206751054852,157.25301906009
"mutxamel",27817,9,3,12601,3841368396,-0.44522331,0.323543157062228,0.107847719020743,452.996369126793,136.060682316569
"navajas",864,0,0,359,3987686563,-0.50708684,0,0,415.509259259259,124.652777777778
"navarres",3064,4,0,1121,3910145536,-0.69276472,1.30548302872063,0,365.861618798956,110.280678851175
"novelda",26143,10,24,12050,3838606382,-0.76539782,0.382511570975022,0.918027770340053,460.926443024902,138.706345866962
"novetle",855,1,0,506,3898108594,-0.548055768,1.16959064327485,0,591.812865497076,178.011695906433
"nules",14111,7,12,5631,3985312121,-0.15473206,0.496066898164552,0.850400396853519,399.050386223514,120.168662745376
"oliva",26270,9,7,11178,3892087548,-0.1206552,0.342596117244005,0.266463646745337,425.504377617054,127.868290826037
"olocau",2409,3,0,701,3969987774,-0.53078642,1.2453300124533,0,290.992112909921,87.7957658779576
"olocau del rey",136,0,0,74,4063795208,-0.3400256,0,0,544.117647058824,163.235294117647
"onda",25813,9,11,12437,3996420713,-0.26316353,0.348661527137489,0.426141866501375,481.811490334328,144.810754271104
"ondara",7507,5,0,4703,3882692459,0.01764367,0.666045024643666,0,626.481950179832,188.211003063807
"onil",7999,4,1,4146,3862952092,-0.6740463,0.500062507813477,0.125015626953369,518.314789348669,155.731966495812
"ontinyent",36319,10,8,19797,3882288129,-0.60649062,0.275337977367218,0.220270381893775,545.086593793882,163.70219444368
"orba",2413,3,0,1272,3878039233,-0.06371253,1.24326564442603,0,527.144633236635,158.640696228761
"orihuela",83348,14,20,40829,3808522582,-0.949954565,0.167970437203052,0.239957767432932,489.861784325959,147.097710802899
"orxeta",912,1,0,316,3856400384,-0.2618598,1.09649122807018,0,346.491228070175,104.385964912281
"otos",439,3,0,133,3885350908,-0.44429964,6.83371298405467,0,302.961275626424,93.621867881549
"paiporta",27875,6,8,10562,3942831198,-0.41879076,0.2152466367713,0.286995515695067,378.905829596413,113.843946188341
"palanques",34,0,0,0,4071745469,-0.1787659,0,0,0,0
"palma de gandia",1824,3,0,826,3892449088,-0.22061035,1.64473684210526,0,452.850877192982,136.513157894737
"palmera",1030,1,0,569,3894190989,-0.15177074,0.970873786407767,0,552.427184466019,166.116504854369
"el palomar",605,0,0,364,3885358534,-0.50277319,0,0,601.652892561984,180.495867768595
"parcent",1031,1,0,575,3874571695,-0.06446788,0.969932104752667,0,557.710960232784,167.701260911736
"paterna",74508,18,86,41570,3950273688,-0.44257379,0.241584796263488,1.15423847103667,557.926665592956,167.820905137703
"pavias",74,0,0,0,3997306947,-0.48189628,0,0,0,0
"pedralba",3171,3,6,1106,3960457168,-0.72653887,0.946073793755913,1.89214758751183,348.78587196468,105.58183538316
"pedreguer",8674,6,0,5030,387935383,0.03432468,0.691722388747982,0,579.893935900392,174.244869725617
"pego",10670,6,1,5746,3884201714,-0.11803172,0.56232427366448,0.0937207122774133,538.519212746017,161.808809746954
"penaguila",296,0,0,121,3867944195,-0.35881625,0,0,408.783783783784,122.635135135135
"petrer",34089,10,19,16700,3848480043,-0.76953712,0.293349760919945,0.557364545747895,489.894100736308,147.252779488985
"petres",1147,2,0,240,3968383811,-0.30940208,1.743679163034,0,209.24149956408,63.4699215344377
"picanya",11866,8,4,5438,3943592093,-0.43572711,0.674195179504467,0.337097589752233,458.284173268161,137.856059329176
"picassent",22641,10,9,8819,3936274319,-0.45913698,0.441676604390265,0.397508943951239,389.514597411775,117.150302548474
"pilar de la horadada",23895,5,19,9285,3786372554,-0.79242783,0.209248796819418,0.79514542791379,388.57501569366,116.8947478552
"piles",3207,3,0,1336,3894060288,-0.13225797,0.935453695042095,0,416.58871219208,125.350795135641
"pina de montalgrao",120,0,0,46,4002137772,-0.65555736,0,0,383.333333333333,115
"pinet",150,0,0,54,3898399263,-0.33672641,0,0,360,108
"planes",701,1,0,281,3878583429,-0.34478535,1.4265335235378,0,400.855920114123,120.827389443652
"els poblets",2720,0,0,1329,3885116436,0.01680187,0,0,488.602941176471,146.580882352941
"polinya de xuquer",2550,4,0,941,3919675684,-0.3685699,1.56862745098039,0,369.019607843137,111.333333333333
"polop",5717,2,0,2621,3862255314,-0.12654723,0.349833828931258,0,458.457232814413,137.677103375896
"portell de morella",157,0,0,109,4053204523,-0.26262536,0,0,694.267515923567,208.28025477707
"potries",1108,3,0,436,3891524933,-0.19440976,2.70758122743682,0,393.501805054152,119.13357400722
"pucol",21281,12,1,9134,3961631894,-0.30317868,0.563883276161835,0.0469902730134862,429.209153705183,129.002396503924
"puebla de arenoso",174,0,0,52,4010463335,-0.5906401,0,0,298.850574712644,89.6551724137931
"puebla de san miguel",51,0,0,0,4004493023,-1.14463186,0,0,0,0
"quart de les valls",1043,2,0,325,3974005314,-0.27210475,1.91754554170662,0,311.601150527325,94.2473633748801
"quart de poblet",26272,12,5,10459,394837855,-0.44189692,0.456760048721072,0.190316686967113,398.104445797808,119.671132764921
"quartell",1717,2,0,916,3973790192,-0.26415029,1.1648223645894,0,533.488642981945,160.512521840419
"quatretonda",2211,4,0,1096,3894564511,-0.40245924,1.80913613749435,0,495.703301673451,149.434644957033
"quatretondeta",133,0,0,51,3872386675,-0.31641906,0,0,383.458646616541,115.037593984962
"quesa",678,1,6,238,3911970028,-0.74015727,1.47492625368732,8.84955752212389,351.032448377581,108.554572271386
"rafal",4867,4,1,1901,3810480713,-0.84889051,0.821861516334498,0.205465379083624,390.58968563797,117.56728991165
"rafelbunyol",9689,6,0,5127,395893341,-0.33500891,0.619258953452369,0,529.156775725049,158.994736298896
"rafelcofer",1383,2,0,529,3893355127,-0.16663919,1.44613159797542,0,382.501807664498,115.328994938539
"rafelguaraf",2342,2,0,736,3905108497,-0.45692484,0.85397096498719,0,314.261315115286,94.6199829205807
"rafol de salem",457,0,0,225,3886594914,-0.39689276,0,0,492.341356673961,147.702407002188
"real",2441,3,0,963,3933791969,-0.60594917,1.22900450634986,0,394.510446538304,118.844735764031
"redovan",8286,5,0,3384,381140353,-0.90524865,0.603427468018344,0,408.399710354815,122.761284093652
"relleu",1290,2,0,391,3858727823,-0.31086389,1.55038759689922,0,303.100775193798,91.5503875968992
"requena",20884,8,7,8671,3948606411,-1.10026975,0.38306837770542,0.335184830492243,415.198237885463,124.813254165869
"riba-roja de turia",24235,11,6,14855,3954602535,-0.57061222,0.453889003507324,0.247575820094904,612.9564679183,184.142768722921
"ribesalbes",1168,2,0,405,4002220821,-0.27764715,1.71232876712329,0,346.746575342466,104.708904109589
