"DENOMINACION","tipo","regimen","localidad","LATITUD","LONGITUD"
"CRA L'ENCANTADA","col·legi rural agrupat","púb.","PLANES",38.783344,-0.344117
"CRA MARIOLA-BENICADELL","col·legi rural agrupat","púb.","ALFAFARA",38.7734,-0.556086
"CEIP PLAYAS DE ORIHUELA","col·legi d'educació infantil i primària","púb.","ORIHUELA COSTA",37.945292,-0.72813
"EI 1ER CICLO MUNICIPAL","escola infantil de primer cicle","púb.","SALINAS",38.518435,-0.911765
"EI 1ER CICLE MUNICIPAL EL ALBERGUE","escola infantil de primer cicle","púb.","BENIDOLEIG",38.791256,-0.02905
"CENTRE PRIVAT FP ARCE FORMACIÓN","centre privat formació professional específica","priv.","BENIDORM",38.542627,-0.133247
"CONSERVATORI SUPERIOR DE DANSA","conservatori superior de dansa","púb.","ALACANT",38.352696,-0.492867
"ESCOLA OFICIAL IDIOMES BENIDORM","escola oficial d'idiomes","púb.","BENIDORM",38.55214,-0.122166
"CENTRO PRIV. ED. INFANTIL PIO PIO 3","centre privat d'educació infantil","priv.","SAN ISIDRO",38.165875,-0.857861
"CEIP ISLA DE TABARCA","col·legi d'educació infantil i primària","púb.","ALACANT",38.365601,-0.481848
"CENTRE ESTRANGER ENGLISH SCHOOL","centre docent privat estranger","priv.","MUTXAMEL",38.404404,-0.459141
"EI 1ER CICLE MUNICIPAL LA GLORIETA","escola infantil de primer cicle","púb.","PEDREGUER",38.792761,0.038913
"ESCUELA EUROPEA DE ALICANTE","escola europea","púb.","ALACANT",38.37305,-0.431406
"CENTRE PRIV. ED. INF. 1ER CICLE FARINETES","centre privat d'educació infantil de primer cicle","priv.","BENIARBEIG",38.821099,-0.004148
"CENTRE PRIVAT FP CENTRO POLIVALENTE SOCIAL Y EDUCATIVO","centre privat formació professional específica","priv.","ALACANT",38.341252,-0.51341
"CENTRE PRIV. ED. INF. 1ER CICLE ANGELETS","centre privat d'educació infantil de primer cicle","priv.","ELX",38.254619,-0.600891
"EI 1ER CICLO MUNICIPAL BIGASTRIN","escola infantil de primer cicle","púb.","BIGASTRO",38.062478,-0.901244
"EI 1ER CICLO MUNICIPAL LA RANITA","escola infantil de primer cicle","púb.","SAN FULGENCIO",38.111878,-0.716125
"EI 1ER CICLO MUNICIPAL LOS DUENDES","escola infantil de primer cicle","púb.","FORMENTERA DEL SEGURA",38.085466,-0.743926
"CENTRE ESTRANGER BRITISH SCHOOL OF ALICANTE","centre docent privat estranger","priv.","ALACANT",38.313814,-0.520885
"CENTRE PRIV. ED. INF. 1ER CICLE SOL Y LUNA","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.398619,-0.527387
"CENTRE PRIVAT EL PLANET","centre privat d'educació primària i secundària","priv.","ALTEA",38.589386,-0.074227
"EI 1ER CICLO MUNICIPAL","escola infantil de primer cicle","púb.","ALGORFA",38.086492,-0.797707
"CENTRE PRIV. ED. INF. 1ER CICLE EL PATIET","centre privat d'educació infantil de primer cicle","priv.","BANYERES DE MARIOLA",38.718783,-0.659303
"IES L'ALLUSSER","institut d'educació secundària","púb.","MUTXAMEL",38.420789,-0.445746
"ESCOLA PRIVADA DE MÚSICA DE LA SOCIETAT UNIÓ MUSICAL","escola privada de música","priv.","ALCOI",38.705133,-0.476924
"ESCOLA PRIVADA DE MÚSICA DE L'ALACANTÍ-ALCOIÀ","escola privada de música","priv.","IBI",38.622985,-0.575538
"ESCOLA PRIVADA DE MÚSICA DE LA UNIÓN MUSICAL SANTA CECILIA","escola privada de música","priv.","ROJALES",38.088939,-0.723569
"CENTRO PRIVADO SAN ALBERTO MAGNO","centre privat d'educació infantil, primària i secundària","priv.","MONFORTE DEL CID",38.354412,-0.667515
"IES LES SALINES","institut d'educació secundària","púb.","CALP",38.643177,0.043908
"IES MARÍA BLASCO","institut d'educació secundària","púb.","SANT VICENT DEL RASPEIG",38.390475,-0.521041
"CONSERVATORI ELEMENTAL DE MÚSICA VICENTE PERELLÓ","conservatori elemental de música","púb.","BENIMELI",38.822838,-0.041926
"IES TORREVIGÍA","institut d'educació secundària","púb.","TORREVIEJA",37.998764,-0.695604
"CEIP CIUDAD DEL MAR","col·legi d'educació infantil i primària","púb.","TORREVIEJA",38.000948,-0.658257
"CRA LA RECTORIA","col·legi rural agrupat","púb.","BENIMELI",38.822359,-0.043856
"CEE PÚB. TAMARIT","centre d'educació especial","púb.","ELX",38.264918,-0.683357
"EI 1ER CICLO MUNICIPAL","escola infantil de primer cicle","púb.","DAYA NUEVA",38.113043,-0.760171
"CENTRE PRIVAT EL VALLE","centre privat d'educació infantil, primària i secundària","priv.","ALACANT",38.363824,-0.428762
"CEIP OLTÀ","col·legi d'educació infantil i primària","púb.","CALP",38.644495,0.039933
"CENTRE PRIV. ED. INF. 1ER CICLE LA MAR SALADA","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.367813,-0.431921
"CENTRE FPA MUNICIPAL VEGA BAJA","centre docent públic de formació bàsica de persones adultes","púb.","ALBATERA",38.182901,-0.875076
"CENTRE FPA MUNICIPAL ALFONSO INIESTA","centre docent públic de formació bàsica de persones adultes","púb.","BANYERES DE MARIOLA",38.721031,-0.656074
"CENTRO FPA MUNICIPAL DE BIGASTRO","centre docent públic de formació bàsica de persones adultes","púb.","BIGASTRO",38.064176,-0.905771
"CENTRE FPA MUNICIPAL CENTRE NOU","centre docent públic de formació bàsica de persones adultes","púb.","CALLOSA D'EN SARRIÀ",38.652028,-0.122159
"CENTRO FPA MUNICIPAL DE COX","centre docent públic de formació bàsica de persones adultes","púb.","COX",38.141839,-0.887007
"CENTRE FPA MUNICIPAL DEL CAMPELLO","centre docent públic de formació bàsica de persones adultes","púb.","CAMPELLO (EL)",38.428788,-0.396704
"CENTRE FPA MUNICIPAL GATA","centre docent públic de formació bàsica de persones adultes","púb.","GATA DE GORGOS",38.771101,0.084111
"CENTRO FPA MUNICIPAL DE LOS MONTESINOS","centre docent públic de formació bàsica de persones adultes","púb.","MONTESINOS (LOS)",38.029383,-0.742741
"CENTRE FPA MUNICIPAL ELS PINS","centre docent públic de formació bàsica de persones adultes","púb.","ONDARA",38.825433,0.017488
"CENTRE FPA MUNICIPAL DE PEDREGUER","centre docent públic de formació bàsica de persones adultes","púb.","PEDREGUER",38.796164,0.034064
"CENTRE FPA MUNICIPAL ENRIQUE TIERNO GALVÁN","centre docent públic de formació bàsica de persones adultes","púb.","PINÓS (EL)",38.402977,-1.040135
"CENTRO FPA MUNICIPAL DE RAFAL","centre docent públic de formació bàsica de persones adultes","púb.","RAFAL",38.103313,-0.84884
"CENTRO FPA MUNICIPAL DE ROJALES","centre docent públic de formació bàsica de persones adultes","púb.","ROJALES",38.087638,-0.724933
"CENTRO FPA MUNICIPAL DE SAN FULGENCIO","centre docent públic de formació bàsica de persones adultes","púb.","SAN FULGENCIO",38.117031,-0.717298
"CENTRE FPA MUNICIPAL DE XIXONA","centre docent públic de formació bàsica de persones adultes","púb.","XIXONA",38.542065,-0.50683
"CENTRE ESTRANGER ELIAN'S BRITISH SCHOOL","centre docent privat estranger","priv.","NUCIA (LA)",38.587156,-0.14514
"CEIP LA ALMAZARA","col·legi d'educació infantil i primària","púb.","SANT VICENT DEL RASPEIG",38.400164,-0.516358
"CENTRE FPA MUNICIPAL D'AGOST","centre docent públic de formació bàsica de persones adultes","púb.","AGOST",38.436258,-0.637955
"CENTRO FPA MUNICIPAL DE DOLORES","centre docent públic de formació bàsica de persones adultes","púb.","DOLORES",38.135253,-0.76795
"CENTRE FPA MUNICIPAL PÉREZ RAMOS","centre docent públic de formació bàsica de persones adultes","púb.","PEGO",38.842511,-0.122527
"CENTRE PRIV. ED. INF. 1ER CICLE MOFLETES","centre privat d'educació infantil de primer cicle","priv.","ELX",38.266464,-0.677608
"CENTRO FPA MUNICIPAL DE PILAR DE LA HORADADA","centre docent públic de formació bàsica de persones adultes","púb.","PILAR DE LA HORADADA",37.861778,-0.790651
"IES 12 DE OCTUBRE","institut d'educació secundària","púb.","PILAR DE LA HORADADA",37.870415,-0.769076
"EI 1ER CICLE MUNICIPAL LES CALETES","escola infantil de primer cicle","púb.","BENIDORM",38.542908,-0.105167
"EI 1ER CICLE MUNICIPAL","escola infantil de primer cicle","púb.","VERGER (EL)",38.842833,0.015696
"CEIP AMANECER","col·legi d'educació infantil i primària","púb.","TORREVIEJA",37.99379,-0.690758
"CENTRE FPA MUNICIPAL D'ALACANT","centre docent públic de formació bàsica de persones adultes","púb.","ALACANT",38.351206,-0.486888
"CENTRE FPA MUNICIPAL DE BIAR","centre docent públic de formació bàsica de persones adultes","púb.","BIAR",38.628622,-0.764333
"CENTRO FPA MUNICIPAL RAFAEL ALTAMIRA","centre docent públic de formació bàsica de persones adultes","púb.","CALLOSA DE SEGURA",38.127645,-0.876449
"CENTRE FPA MUNICIPAL RICO SAPENA","centre docent públic de formació bàsica de persones adultes","púb.","CASTALLA",38.591307,-0.670617
"CENTRO FPA MUNICIPAL DE MONFORTE DEL CID","centre docent públic de formació bàsica de persones adultes","púb.","MONFORTE DEL CID",38.38297,-0.727919
"CENTRE FPA MUNICIPAL FREIRE","centre docent públic de formació bàsica de persones adultes","púb.","MONÒVER",38.432304,-0.844644
"CENTRE FPA MUNICIPAL DE MUTXAMEL","centre docent públic de formació bàsica de persones adultes","púb.","MUTXAMEL",38.420789,-0.445746
"CENTRE FPA MUNICIPAL SEGARIA","centre docent públic de formació bàsica de persones adultes","púb.","VERGER (EL)",38.842833,0.015696
"CENTRE PRIVAT LA DEVESA","centre privat d'educació infantil, primària i secundària","priv.","ELX",38.268561,-0.67229
"ESCOLA PRIVADA DE MÚSICA EL SEGUILI","escola privada de música","priv.","BENIDOLEIG",38.792192,-0.029239
"E. DE MÚSICA MUNICIPAL","escola pública de música","púb.","POBLE NOU DE BENITATXELL (EL)",38.730527,0.141835
"ESCUELA PRIVADA DE MÚSICA DE LA UNIÓN MUSICAL SAN ISIDRO","escola privada de música","priv.","SAN ISIDRO",38.173081,-0.838322
"E. DE MÚSICA MUNICIPAL","escola pública de música","púb.","XALÓ",38.740996,-0.011603
"EI 1ER CICLO MUNICIPAL","escola infantil de primer cicle","púb.","DOLORES",38.141793,-0.771691
"CENTRE FPA MUNICIPAL DEL POBLE NOU DE BENITATXELL","centre docent públic de formació bàsica de persones adultes","púb.","POBLE NOU DE BENITATXELL (EL)",38.730757,0.140042
"CENTRO PRIV. ED. INF. 1ER CICLO SAN CARLOS","centre privat d'educació infantil de primer cicle","priv.","REDOVÁN",38.117373,-0.912917
"EI 1ER CICLE MUNICIPAL","escola infantil de primer cicle","púb.","BENIARRÉS",38.819703,-0.379366
"CEIP MARÍA MOLINER","col·legi d'educació infantil i primària","púb.","PILAR DE LA HORADADA",37.863922,-0.779068
"EI 1ER CICLE MUNICIPAL L'ESCOLETA","escola infantil de primer cicle","púb.","DÉNIA",38.82704,0.090103
"CEIP DOÑA VICENTA RUSO","col·legi d'educació infantil i primària","púb.","SANTA POLA",38.23963,-0.528631
"EI 1ER CICLE MUNICIPAL EL BRESSOL","escola infantil de primer cicle","púb.","NUCIA (LA)",38.618371,-0.124712
"CEIP CLARA CAMPOAMOR","col·legi d'educació infantil i primària","púb.","ELX",38.276588,-0.681447
"EI 1ER CICLE MUNICIPAL LAS CINCO CUEVAS","escola infantil de primer cicle","púb.","BENIJÓFAR",38.079493,-0.736504
"CEIP MEDITERRÁNEO","col·legi d'educació infantil i primària","púb.","ALACANT",38.364907,-0.422288
"CENTRO PÚBLICO FPA LA ATALAYA","centre públic de formació de persones adultes","púb.","VILLENA",38.716624,-0.924611
"CENTRE ENS. PROFESSIONALS DE MÚSICA SANT JOAN D'ALACANT","centre autoritzat d'ensenyances artístiques professionals de música","priv.","SANT JOAN D'ALACANT",38.406359,-0.441901
"ESCOLA PRIVADA DE MÚSICA DE LA SOCIETAT U. MUSICAL DE BIAR","escola privada de música","priv.","BIAR",38.628069,-0.763941
"ESCOLA PRIVADA DE MÚSICA EDUCANDOS S.C.D. CAROLINAS","escola privada de música","priv.","ALACANT",38.360522,-0.480378
"ESCOLA PRIVADA DE MÚSICA TRADICIONAL EL SOGALL","escola privada de música","priv.","CASTALLA",38.591093,-0.668043
"CEIP JOSÉ RAMÓN GARCÍA ANTÓN","col·legi d'educació infantil i primària","púb.","SANT VICENT DEL RASPEIG",38.392499,-0.514523
"CENTRE PRIV. ED. INF. 1ER CICLE LES ESTRELETES","centre privat d'educació infantil de primer cicle","priv.","MUTXAMEL",38.413543,-0.445919
"CENTRE PRIVAT FP C.ESTUDIOS SANITARIOS DEL MEDITERRÁNEO","centre privat formació professional específica","priv.","ELX",38.26298,-0.707128
"CENTRE FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","TEULADA",38.72815,0.109198
"EI 1ER CICLE MUNICIPAL LA TRILLADORA","escola infantil de primer cicle","púb.","PEGO",38.842969,-0.110217
"EI 1ER CICLE MUNICIPAL","escola infantil de primer cicle","púb.","FINESTRAT",38.568085,-0.2134
"ESCOLA PRIVADA DE MÚSICA LA CONSTANCIA","escola privada de música","priv.","SANTA POLA",38.191691,-0.553272
"CENTRE PRIV. ED. INF. 1ER CICLE GARABATOS","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.399595,-0.527419
"EI 1ER CICLO MUNICIPAL","escola infantil de primer cicle","púb.","CATRAL",38.165301,-0.804346
"CENTRE FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","NUCIA (LA)",38.617608,-0.124637
"EI 1ER CICLO MUNICIPAL","escola infantil de primer cicle","púb.","MURADA (LA)",38.170805,-0.959443
"CENTRE FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","CALP",38.642953,0.044117
"CENTRE FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","BENISSA",38.716615,0.054739
"CENTRE FPA MUNICIPAL ALGAR","centre docent públic de formació bàsica de persones adultes","púb.","ALTEA",38.604769,-0.046642
"CENTRE FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","GUARDAMAR DEL SEGURA",38.087634,-0.655956
"ESCOLA OFICIAL IDIOMES ALCOI","escola oficial d'idiomes","púb.","ALCOI",38.704493,-0.468593
"CEIP LA MUIXARA","col·legi d'educació infantil i primària","púb.","NUCIA (LA)",38.606156,-0.125991
"CENTRE PRIV. ED. INF. 1ER CICLE TERRAMARINA","centre privat d'educació infantil de primer cicle","priv.","FINESTRAT",38.539841,-0.184036
"CENTRO PRIV. ED. INF. 1ER CICLO MI PRIMERA ESCUELA","centre privat d'educació infantil de primer cicle","priv.","ELDA",38.468543,-0.795254
"CENTRE PRIVAT MUNTORI","centre privat d'educació infantil, primària i secundària","priv.","CASTALLA",38.602442,-0.663986
"ESCOLA PRIVADA DE MÚSICA COMARCAL DE MÚSICA TRADICIONAL","escola privada de música","priv.","PETRER",38.482737,-0.777206
"ESCOLA PRIVADA DE MÚSICA I DANSA CIMO","escola privada de música i dansa","priv.","ONIL",38.630634,-0.673363
"ESCOLA PRIVADA DE MÚSICA I DANSA D'ALTEA","escola privada de música i dansa","priv.","ALTEA",38.599461,-0.048849
"CEIP GASPAROT","col·legi d'educació infantil i primària","púb.","VILA JOIOSA (LA)",38.501279,-0.241731
"EI 1ER CICLE MUNICIPAL EL TOSSALET","escola infantil de primer cicle","púb.","BENIDORM",38.53249,-0.161566
"CEIP DAMA DE GUARDAMAR","col·legi d'educació infantil i primària","púb.","GUARDAMAR DEL SEGURA",38.100122,-0.65662
"EI 1ER CICLE MUNICIPAL LA RETJOLA","escola infantil de primer cicle","púb.","MONÒVER",38.428807,-0.837103
"CENTRE ESTRANGER COSTA BLANCA UNDERVISNING","centre docent privat estranger","priv.","ALFÀS DEL PI (L')",38.564945,-0.066867
"CEIP VICTORIA KENT","col·legi d'educació infantil i primària","púb.","SANT VICENT DEL RASPEIG",38.403874,-0.524825
"CENTRE PRIVAT PEÑAFORT-2","centre privat d'educació primària i secundària","priv.","SANT VICENT DEL RASPEIG",38.419204,-0.530596
"CEIP BALCÓ DE FINESTRAT","col·legi d'educació infantil i primària","púb.","FINESTRAT",38.548371,-0.201321
"EI 1ER CICLO MUNICIPAL LOS PASITOS","escola infantil de primer cicle","púb.","REDOVÁN",38.115921,-0.906737
"ESCUELA PRIVADA DE MÚSICA A. MUS. SANTIAGO APÓSTOL ALBATERA","escola privada de música","priv.","ALBATERA",38.176756,-0.873245
"ESCOLA PRIVADA DE MÚSICA A. MUS. MEDITERRÁNEO LA VILA-JOIOSA","escola privada de música","priv.","VILA JOIOSA (LA)",38.508621,-0.23065
"ESCUELA PRIVADA DE MÚSICA S.MUSICAL Y CULTURAL DE ALGORFA","escola privada de música","priv.","ALGORFA",38.085905,-0.79576
"CENTRE PRIV. ED. INF. 1ER CICLE CHIQUI SCHOOL","centre privat d'educació infantil de primer cicle","priv.","SANTA POLA",38.233693,-0.547908
"CENTRE PRIV. ED. INF. 1ER CICLE MAR DE SOLES","centre privat d'educació infantil de primer cicle","priv.","SANT JOAN D'ALACANT",38.40147,-0.432557
"CEIP NÚMERO 8","col·legi d'educació infantil i primària","púb.","SANTA POLA",38.225033,-0.525682
"EI 1ER CICLO MUNICIPAL MIGUEL HERNÁNDEZ","escola infantil de primer cicle","púb.","MONTESINOS (LOS)",38.028779,-0.74337
"ESCUELA PRIVADA DE MÚSICA BANDA MUSICAL LA LIRA","escola privada de música","priv.","MONFORTE DEL CID",38.378504,-0.730226
"ESCOLA OFICIAL IDIOMES DÉNIA","escola oficial d'idiomes","púb.","DÉNIA",38.833282,0.114917
"ESCOLA OFICIAL IDIOMES ELDA","escola oficial d'idiomes","púb.","ELDA",38.492204,-0.800851
"ESCOLA OFICIAL  IDIOMES ORIHUELA","escola oficial d'idiomes","púb.","ORIHUELA",38.083574,-0.93966
"ESCOLA OFICIAL IDIOMES SANT VICENT DEL RASPEIG-L'ALACANTÍ","escola oficial d'idiomes","púb.","SANT VICENT DEL RASPEIG",38.383028,-0.502829
"EI 1ER CICLE MUNICIPAL SIETE ENANITOS","escola infantil de primer cicle","púb.","ALACANT",38.37736,-0.48373
"EI 1ER CICLE MUNICIPAL ELS XIQUETS","escola infantil de primer cicle","púb.","ALACANT",38.376235,-0.495714
"CENTRO PRIV. ED. INF. 1ER CICLO RENACUAJOS","centre privat d'educació infantil de primer cicle","priv.","VILLENA",38.628943,-0.862873
"CENTRO FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","BENEJÚZAR",38.075232,-0.835847
"EI 1ER CICLE MUNICIPAL","escola infantil de primer cicle","púb.","BIAR",38.62739,-0.764483
"CENTRE PRIV. ED. INF. 1ER CICLE GRAN VÍA PARQUE AVENTURA","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.363658,-0.466533
"CENTRE PRIV. ED. INF. 1ER CICLE PRINCESA MERCEDES","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.346406,-0.504417
"CENTRE PRIV. ED. INF. 1ER CICLE PICAPIEDRA","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.367368,-0.435699
"CENTRO PRIV. ED. INF. 1ER CICLO PICCOLO","centre privat d'educació infantil de primer cicle","priv.","TORREVIEJA",37.986879,-0.692225
"EI 1ER CICLE MUNICIPAL SILENE D'IFAC","escola infantil de primer cicle","púb.","CALP",38.648065,0.04786
"EI 1ER CICLO MUNICIPAL LOS PASOS","escola infantil de primer cicle","púb.","ROJALES",38.085375,-0.726793
"CENTRO FPA MUNICIPAL","centre docent públic de formació bàsica de persones adultes","púb.","CATRAL",38.165048,-0.801862
"CENTRE PRIV. ED. INF. 1ER CICLE GRAN VÍA ALICANTE","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.364121,-0.434142
"CENTRE PRIV. ED. INF. 1ER CICLE MINAIRONS","centre privat d'educació infantil de primer cicle","priv.","XÀBIA",38.786338,0.164452
"ESCOLA PRIVADA DE MÚSICA ERIK SATIE","escola privada de música","priv.","ELX",38.263743,-0.697117
"CEIP RABASSA","col·legi d'educació infantil i primària","púb.","ALACANT",38.365588,-0.501726
"CENTRE PRIV. ED. INF. 1ER CICLE MIS PASITOS","centre privat d'educació infantil de primer cicle","priv.","ELX",38.262494,-0.662052
"ESCOLA PRIVADA DE MÚSICA CIUDAD DE ELCHE","escola privada de música","priv.","ELX",38.264935,-0.702247
"CEIP PRINCESA DE ASTURIAS","col·legi d'educació infantil i primària","púb.","ELX",38.272301,-0.667854
"CENTRE PRIV. ED. INF. 1ER CICLE PEQUEÑO MUNDO","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.35111,-0.498215
"EI 1ER CICLO MUNICIPAL LOS PEQUES","escola infantil de primer cicle","púb.","SAN ISIDRO",38.172619,-0.83903
"CENTRE PRIV. ED. INF. 1ER CICLE PEQUES","centre privat d'educació infantil de primer cicle","priv.","SANT JOAN D'ALACANT",38.395517,-0.426318
"CENTRE PRIV. ED. INF. 1ER CICLE EL SOLET","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.399872,-0.519917
"CENTRO PRIVADO FP CEDENPRO","centre privat formació professional específica","priv.","ELDA",38.481578,-0.787003
"CENTRE PRIV. ED. INF. 1ER CICLE PECES DE COLORES","centre privat d'educació infantil de primer cicle","priv.","ALFÀS DEL PI (L')",38.572956,-0.079409
"ESCOLA PRIVADA DE MÚSICA CENTRE MUSICAL PUIG CAMPANA","escola privada de música","priv.","FINESTRAT",38.566636,-0.214185
"ESCUELA PRIVADA DE MÚSICA SOCIEDAD INSTRUCTIVA MUSICAL SONES","escola privada de música","priv.","SAX",38.536644,-0.821854
"ESCUELA PRIVADA DE MÚSICA DE LA UNIÓN MUSICAL","escola privada de música","priv.","BIGASTRO",38.063988,-0.897065
"ESCUELA PRIVADA DE DANZA SUSANA GARCÍA","escola privada de dansa","priv.","ELDA",38.478488,-0.79402
"ESCOLA PRIVADA DE DANSA ESTUDIO DE DANZA ALICIA Y PILAR","escola privada de dansa","priv.","ALACANT",38.340394,-0.495383
"ESCOLA PRIVADA DE MÚSICA SOCIEDAD UNIÓN MUSICAL","escola privada de música","priv.","PETRER",38.483119,-0.772999
"CENTRE PRIV. ED. INF. 1ER CICLE EL TRENET","centre privat d'educació infantil de primer cicle","priv.","VILA JOIOSA (LA)",38.501111,-0.240822
"EI 1ER CICLE MUNICIPAL","escola infantil de primer cicle","púb.","CASTALLA",38.587298,-0.67052
"CEIP LA ALMADRABA","col·legi d'educació infantil i primària","púb.","ALACANT",38.365374,-0.421202
"CENTRE PRIV. ED. INF. 1ER CICLE BABYSOL","centre privat d'educació infantil de primer cicle","priv.","PETRER",38.471197,-0.78512
"EI 1ER CICLO MUNICIPAL DOÑA PILI","escola infantil de primer cicle","púb.","ALBATERA",38.17547,-0.871392
"CENTRE ESTRANGER THE LADY ELIZABETH SCHOOL","centre docent privat estranger","priv.","POBLE NOU DE BENITATXELL (EL)",38.72882,0.161086
"CENTRE DOCENT PRIVAT FPA CRUZ ROJA ESPAÑOLA","centre docent privat de formació bàsica de persones adultes","priv.","ALACANT",38.354563,-0.507629
"EI 1ER CICLE MUNICIPAL EL RAVEL","escola infantil de primer cicle","púb.","MUTXAMEL",38.408709,-0.460237
"CENTRE PRIV. ED. INF. 1ER CICLE LOS OLIVOS","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.394667,-0.509866
"CENTRE PRIVAT FP TALLER DE OFICIOS FERSOL","centre privat formació professional específica","priv.","NOVELDA",38.386855,-0.746569
"CONSERVATORIO PROFESIONAL DE MÚSICA MUNICIPAL DE CATRAL","conservatori professional de música","púb.","CATRAL",38.160687,-0.803932
"CENTRE PRIV. ED. INF. 1ER CICLE LA PAPALLONA","centre privat d'educació infantil de primer cicle","priv.","NOVELDA",38.387544,-0.762643
"EI 1ER CICLO MUNICIPAL MAESTRA CARMEN BAEZA","escola infantil de primer cicle","púb.","CALLOSA DE SEGURA",38.127214,-0.874035
"CENTRE PRIV. ED. INF. 1ER CICLE DUENDES","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.400713,-0.519847
"CENTRE PRIV. ED. INF. 1ER CICLE HORMIGUITAS","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.384526,-0.430146
"CENTRE PRIV. ED. INF. 1ER CICLE TRAZOS Y RAYAJOS","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.392633,-0.518196
"CENTRE PRIV. ED. INF. 1ER CICLE SOL, SOLET","centre privat d'educació infantil de primer cicle","priv.","ALCOI",38.69158,-0.477193
"EI 1ER CICLO MUNICIPAL ORIHUELA COSTA","escola infantil de primer cicle","púb.","ORIHUELA COSTA",37.939011,-0.734627
"EI 1ER CICLO MAESTRO ENRIQUE","escola infantil de primer cicle","púb.","SAN MIGUEL DE SALINAS",37.975403,-0.789547
"CENTRE PRIV. ED. INF. 1ER CICLE BICHITOS","centre privat d'educació infantil de primer cicle","priv.","SANT JOAN D'ALACANT",38.403723,-0.431011
"CENTRE PRIV. ED. INF. 1ER CICLE SENTIDOS","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.396063,-0.521565
"CENTRE PRIV. ED. INF. 1ER CICLE COLORETS","centre privat d'educació infantil de primer cicle","priv.","DÉNIA",38.835424,0.107151
"EI 1ER CICLE MUNICIPAL ELS XIQUETS","escola infantil de primer cicle","púb.","ELX",38.270096,-0.694582
"CENTRO PRIV. ED. INF. 1ER CICLO MENUDOS GENIOS","centre privat d'educació infantil de primer cicle","priv.","COX",38.144944,-0.887728
"CENTRE PRIV. ED. INF. 1ER CICLE LA COMETA","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.376094,-0.453606
"CENTRO PRIV. ED. INFANTIL LA MONSINA","centre privat d'educació infantil","priv.","CALLOSA DE SEGURA",38.114385,-0.879782
"CENTRE PRIVAT FP FEMPA","centre privat formació professional específica","priv.","ALACANT",38.302562,-0.532922
"CENTRE FPA MUNICIPAL DE SANT JOAN D'ALACANT","centre docent públic de formació bàsica de persones adultes","púb.","SANT JOAN D'ALACANT",38.392834,-0.440891
"EI 1ER CICLE MUNICIPAL MESTRA VICENTA ESTELA","escola infantil de primer cicle","púb.","XARA (LA)",38.82747,0.062279
"CENTRE PRIV. ED. INF. 1ER CICLE LOS OLIVOS 2","centre privat d'educació infantil de primer cicle","priv.","ALACANT",38.364327,-0.479763
"CENTRE PRIV. ED. INF. 1ER CICLE ELS PATUFETS","centre privat d'educació infantil de primer cicle","priv.","POBLE NOU DE BENITATXELL (EL)",38.734536,0.145452
"CENTRE PRIVAT FP HEMEROSCOPEA JÁVEA","centre privat formació professional específica","priv.","XÀBIA",38.788448,0.160862
"CENTRO PRIV. ED. INF. 1ER CICLO LYSMON","centre privat d'educació infantil de primer cicle","priv.","BIGASTRO",38.062256,-0.904105
"CENTRE PRIV. ED. INF. 1ER CICLE TURULETA","centre privat d'educació infantil de primer cicle","priv.","SANT VICENT DEL RASPEIG",38.398445,-0.528848
"ESCUELA PRIVADA DE MÚSICA CIUDAD DE ELDA","escola privada de música","priv.","ELDA",38.473986,-0.79079
"ESCUELA PRIVADA DE MÚSICA MARIANO ROGEL","escola privada de música","priv.","ORIHUELA",38.085987,-0.948008
"CENTRE PRIV. ED. INF. 1ER CICLE CARAGOLETS","centre privat d'educació infantil de primer cicle","priv.","XÀBIA",38.791887,0.177258
"CENTRE PRIV. ED. INF. 1ER CICLE NANOS","centre privat d'educació infantil de primer cicle","priv.","NOVELDA",38.387139,-0.763043
"CENTRE PRIV. ED. INF. 1ER CICLE EL PORTET","centre privat d'educació infantil de primer cicle","priv.","DÉNIA",38.839131,0.111918
