"DENOMINACION","tipo","regimen","localidad","LATITUD","LONGITUD"
"CENTRE PRIVAT SAN JUAN DE LA CRUZ","centre privat d'educació infantil i primària","priv. conc.","ALACANT",38.35779,-0.482847
"CENTRE PRIVAT SANTA TERESA-VISTAHERMOSA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.364331,-0.463223
"CENTRE PRIVAT CENTRO DIOCESANO N.S.DEL CARMEN DE CASALARGA","centre privat d'educació infantil i primària","priv. conc.","ALACANT",38.372124,-0.479611
"EI 1ER CICLE BENACANTIL","escola infantil de primer cicle","púb.","ALACANT",38.369552,-0.482746
"CEP CENTRO DE RECEPCIÓN","col·legi d'educació primària","púb.","ALACANT",38.358913,-0.487003
"CEIP SAN FERNANDO","col·legi d'educació infantil i primària","púb.","ALACANT",38.35475,-0.499086
"CEIP PEDRO DUQUE","col·legi d'educació infantil i primària","púb.","ALACANT",38.368873,-0.469966
"CEIP AUSIÀS MARCH","col·legi d'educació infantil i primària","púb.","ALACANT",38.360049,-0.494025
"CEIP JOAQUÍN SOROLLA","col·legi d'educació infantil i primària","púb.","ALACANT",38.350785,-0.497485
"CEIP CARLOS ARNICHES","col·legi d'educació infantil i primària","púb.","ALACANT",38.364653,-0.480233
"CEIP FLORIDA","col·legi d'educació infantil i primària","púb.","ALACANT",38.340007,-0.508267
"CEIP CAMPOAMOR","col·legi d'educació infantil i primària","púb.","ALACANT",38.355123,-0.486806
"CEIP LA PAZ","col·legi d'educació infantil i primària","púb.","ALACANT",38.373308,-0.4922
"CEIP PRÁCTICAS-LA ANEJA","col·legi d'educació infantil i primària","púb.","ALACANT",38.351997,-0.493242
"CEIP SAN GABRIEL","col·legi d'educació infantil i primària","púb.","ALACANT",38.33102,-0.514774
"CEIP SAN FRANCISCO DE ASÍS","col·legi d'educació infantil i primària","púb.","ALACANT",38.347631,-0.515231
"CEP VIRGEN DEL REMEDIO","col·legi d'educació primària","púb.","ALACANT",38.371035,-0.486212
"CENTRE PRIVAT SANTÍSIMO SACRAMENTO FEYDA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.356313,-0.48475
"CENTRE PRIVAT JESÚS MARÍA","centre privat d'educació infantil, primària i secundària","priv. conc.","VILLAFRANQUEZA",38.386157,-0.488535
"CENTRE PRIVAT DON BOSCO - SALESIANOS","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.35177,-0.504738
"CENTRE PRIVAT CALASANCIO","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.358375,-0.468228
"CENTRE PRIVAT MÉDICO PEDRO HERRERO","centre privat d'educació infantil, primària i secundària","priv. conc.","ALACANT",38.34941,-0.515928
"CEIP ÓSCAR ESPLÁ","col·legi d'educació infantil i primària","púb.","ALACANT",38.365862,-0.493805
"IES JORGE JUAN","institut d'educació secundària","púb.","ALACANT",38.349339,-0.493033
"IES MIGUEL HERNÁNDEZ","institut d'educació secundària","púb.","ALACANT",38.350607,-0.495388
"IES FIGUERAS PACHECO","institut d'educació secundària","púb.","ALACANT",38.340419,-0.511393
"IES ANTONIO JOSÉ CAVANILLES","institut d'educació secundària","púb.","ALACANT",38.339367,-0.507538
"CEIP SANTÍSIMA FAZ","col·legi d'educació infantil i primària","púb.","ALACANT",38.377459,-0.485252
"CIPFP POLITÈCNIC MARÍTIM PESQUER DEL MEDITERRANI","centre integrat públic de formació professional","púb.","ALACANT",38.337078,-0.486649
"CENTRE PRIVAT WALDORF ARRELS DE LLUM","centre privat d'educació primària i secundària","priv. conc.","SANT VICENT DEL RASPEIG",38.391211,-0.502882
"CEIP RAFAEL ALTAMIRA","col·legi d'educació infantil i primària","púb.","ALACANT",38.340865,-0.514512
"CEIP LA CAÑADA DEL FENOLLAR","col·legi d'educació infantil i primària","púb.","CAÑADA DEL FENOLLAR",38.403146,-0.566592
"CEIP LA CONDOMINA","col·legi d'educació infantil i primària","púb.","ALACANT",38.372255,-0.418046
"CEIP LOS ALMENDROS","col·legi d'educació infantil i primària","púb.","REBOLLEDO",38.343941,-0.610522
"CEIP VERDEGAS","col·legi d'educació infantil i primària","púb.","VERDEGÁS",38.404837,-0.58352
"CEIP JUAN BAUTISTA LLORCA","col·legi d'educació infantil i primària","púb.","VILLAFRANQUEZA",38.385383,-0.492514
"CEIP DE ALMORADÍ - HEREDADES","col·legi d'educació infantil i primària","púb.","HEREDADES",38.09108,-0.762358
"CEIP CANALES Y MARTÍNEZ","col·legi d'educació infantil i primària","púb.","ALMORADÍ",38.107366,-0.787218
"CENTRO PRIVADO SANTA MARÍA DE LA HUERTA","centre privat d'educació infantil, primària i secundària","priv. conc.","ALMORADÍ",38.11518,-0.786773
